n_estimators,learning_rate,accuracy,precision,recall,f1_score,roc_auc_score
1,0.001,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.002,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.003,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.004,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.005,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.01,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.02,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.03,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.04,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.05,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.075,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.1,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.2,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.3,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.4,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.5,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.6,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.7,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.8,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,0.9,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,1,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,1.25,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,1.5,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,1.75,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
1,2,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
5,0.001,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
5,0.002,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
5,0.003,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
5,0.004,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
5,0.005,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
5,0.01,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
5,0.02,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
5,0.03,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.04,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.05,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.075,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.1,0.8099173553719008,0.8367346938775511,0.7321428571428571,0.7809523809523811,0.8045329670329671
5,0.2,0.8181818181818182,0.8269230769230769,0.7678571428571429,0.7962962962962962,0.8146978021978023
5,0.3,0.8677685950413223,0.8703703703703703,0.8392857142857143,0.8545454545454546,0.8657967032967033
5,0.4,0.8512396694214877,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.8491758241758242
5,0.5,0.8347107438016529,0.8333333333333334,0.8035714285714286,0.8181818181818182,0.8325549450549451
5,0.6,0.8264462809917356,0.8571428571428571,0.75,0.7999999999999999,0.821153846153846
5,0.7,0.8264462809917356,0.8571428571428571,0.75,0.7999999999999999,0.821153846153846
5,0.8,0.8264462809917356,0.8571428571428571,0.75,0.7999999999999999,0.821153846153846
5,0.9,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8035714285714286,0.8171703296703297
5,1,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8035714285714286,0.8171703296703297
5,1.25,0.8429752066115702,0.8490566037735849,0.8035714285714286,0.8256880733944955,0.8402472527472528
5,1.5,0.8347107438016529,0.8,0.8571428571428571,0.8275862068965518,0.8362637362637362
5,1.75,0.8016528925619835,0.7666666666666667,0.8214285714285714,0.793103448275862,0.8030219780219781
5,2,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.001,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.002,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.003,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.004,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.005,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.01,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.02,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
10,0.03,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.04,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
10,0.05,0.8099173553719008,0.8367346938775511,0.7321428571428571,0.7809523809523811,0.8045329670329671
10,0.075,0.8264462809917356,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8236263736263737
10,0.1,0.8016528925619835,0.8076923076923077,0.75,0.7777777777777779,0.7980769230769231
10,0.2,0.8264462809917356,0.8431372549019608,0.7678571428571429,0.8037383177570093,0.8223901098901099
10,0.3,0.859504132231405,0.8545454545454545,0.8392857142857143,0.8468468468468467,0.8581043956043957
10,0.4,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
10,0.5,0.8512396694214877,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.8491758241758242
10,0.6,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
10,0.7,0.8429752066115702,0.8775510204081632,0.7678571428571429,0.819047619047619,0.8377747252747252
10,0.8,0.8181818181818182,0.8269230769230769,0.7678571428571429,0.7962962962962962,0.8146978021978023
10,0.9,0.8512396694214877,0.8653846153846154,0.8035714285714286,0.8333333333333334,0.8479395604395603
10,1,0.8512396694214877,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.8491758241758242
10,1.25,0.8016528925619835,0.7758620689655172,0.8035714285714286,0.7894736842105263,0.8017857142857144
10,1.5,0.8429752066115702,0.8245614035087719,0.8392857142857143,0.8318584070796461,0.8427197802197802
10,1.75,0.8181818181818182,0.7833333333333333,0.8392857142857143,0.8103448275862069,0.8196428571428572
