n_estimators,max_depth,accuracy,precision,recall,f1_score,roc_auc_score,augmentation
100,10,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385,seed0_augmentation1.01.csv
100,50,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.01.csv
100,100,0.8925619834710744,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.8925824175824175,seed0_augmentation1.01.csv
100,200,0.8677685950413223,0.8448275862068966,0.875,0.8596491228070176,0.8682692307692308,seed0_augmentation1.01.csv
250,10,0.8677685950413223,0.8448275862068966,0.875,0.8596491228070176,0.8682692307692308,seed0_augmentation1.01.csv
250,50,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.01.csv
250,100,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.01.csv
250,200,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.01.csv
500,10,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.01.csv
500,50,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.01.csv
500,100,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.01.csv
500,200,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385,seed0_augmentation1.01.csv
100,10,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385,seed0_augmentation1.015.csv
100,50,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.015.csv
100,100,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.015.csv
100,200,0.9008264462809916,0.9074074074074074,0.875,0.8909090909090909,0.8990384615384616,seed0_augmentation1.015.csv
250,10,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385,seed0_augmentation1.015.csv
250,50,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.015.csv
250,100,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.015.csv
250,200,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.015.csv
500,10,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.015.csv
500,50,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.015.csv
500,100,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.015.csv
500,200,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.015.csv
100,10,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.02.csv
100,50,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385,seed0_augmentation1.02.csv
100,100,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.02.csv
100,200,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.02.csv
250,10,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.02.csv
250,50,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.02.csv
250,100,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.02.csv
250,200,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.02.csv
500,10,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461,seed0_augmentation1.02.csv
